num_acc;catv;obs;obsm;choc;manv;num_veh
2011000314;33;0;0;0;1;A01
2011000315;30;9;0;1;1;A01
2011000316;7;0;2;2;1;A01
2011000316;2;0;0;4;1;B02
2011000317;7;0;2;2;1;A01
2011000317;7;0;2;8;16;B02
2011000318;7;2;0;8;17;A01
2011000319;10;0;2;6;0;B02
2011000319;7;0;2;3;13;A01
2011000320;33;0;2;1;1;B02
2011000320;7;0;2;1;15;A01
2011000321;7;0;1;2;14;A01
2011000322;7;0;9;2;2;A01
2011000322;1;0;0;4;2;B02
2011000323;7;0;2;3;1;B02
2011000323;7;0;2;3;13;A01
2011000324;7;2;0;1;1;A01
2011000325;7;0;2;6;15;A01
2011000325;31;0;2;1;1;B02
2011000326;2;0;2;1;0;A01
2011000326;10;0;2;3;0;B02
2011000327;7;0;0;8;15;A01
2011000327;33;0;2;1;1;B02
2011000328;30;0;2;1;1;B02
2011000328;7;0;9;2;15;A01
2011000329;7;0;1;2;5;A01
2011000330;7;0;2;2;17;A01
2011000330;21;0;2;3;15;B02
2011000331;7;0;2;2;15;B02
2011000331;1;0;2;1;1;A01
2011000332;7;0;9;1;9;A01
2011000332;1;0;2;7;1;B02
2011000333;7;2;0;7;1;A01
2011000334;7;0;1;3;0;A01
2011000335;31;0;0;7;15;B02
2011000335;7;0;0;1;23;A01
2011000336;2;8;0;1;1;A01
2011000337;7;0;2;2;13;A01
2011000337;7;0;2;2;1;B02
2011000338;7;0;2;1;17;A01
2011000338;7;0;2;1;1;B02
2011000339;7;0;1;2;1;A01
2011000340;2;0;2;1;2;B02
2011000340;7;0;0;5;0;A01
2011000341;15;0;0;6;23;A01
2011000341;10;0;0;3;1;B02
2011000342;7;0;1;3;1;A01
2011000343;7;2;0;1;13;A01
2011000344;7;0;2;3;13;A01
2011000344;7;0;2;3;1;B02
2011000345;30;0;0;8;16;A01
2011000345;14;0;0;0;16;B02
2011000346;16;0;0;0;16;A01
2011000347;7;0;2;1;1;A01
2011000347;1;0;2;1;1;B02
2011000348;7;0;0;2;2;A01
2011000348;1;0;0;6;2;B02
2011000349;7;0;2;3;11;A01
2011000349;2;0;2;7;1;B02
2011000350;31;0;2;1;5;A01
2011000350;7;0;2;1;1;B02
2011000351;7;0;0;1;2;A01
